Number,Name,ELO,Title,FIDE Id,Federation,Games,Birth Year
109,Luka Lenic,2626,GM,14603853,Slovenia,1173,1988
110,Gabriel Sargissian,2626,GM,13300881,Armenia,1814,1983
111,David Anton Guijarro,2625,GM,2285525,Spain,1547,1995
112,Ivan Cheparinov,2625,GM,2905540,Bulgaria,2343,1986
113,Bardiya Daneshvar,2625,GM,12576468,Iran,505,2006
114,Aram Hakobyan,2625,GM,13306677,Armenia,698,2001
115,Chao b Li,2624,GM,8604436,China,957,1989
116,Vassily Ivanchuk,2623,GM,14100010,Ukraine,4273,1969
117,Ioannis Papaioannou,2623,GM,4201345,Greece,691,1976
118,Ruslan Ponomariov,2622,GM,14103320,Ukraine,2273,1983
119,Anton Demchenko,2620,GM,4160258,Slovenia,1065,1987
120,Alexei Shirov,2620,GM,2209390,Spain,3734,1972
121,Rasmus Svane,2619,GM,4657101,Germany,1362,1997
122,Jon Ludvig Hammer,2618,GM,1503707,Norway,1045,1990
123,Peter Heine Nielsen,2617,GM,1400355,Denmark,1892,1973
124,Alexandr Predke,2617,GM,24107581,Serbia,1222,1994
125,Dennis Wagner,2617,GM,24650684,Germany,794,1997
126,Daniel Dardha,2616,GM,240990,Belgium,936,2005
127,Alexander Donchenko,2616,GM,24603295,Germany,1695,1998
128,Maxime Lagarde,2616,GM,662399,France,1147,1994
129,Luke J McShane,2615,GM,404853,United Kingdom,1663,1984
130,Jaime Santos Latasa,2614,GM,2293307,Spain,894,1996
131,Tamir Nabaty,2613,GM,2809052,Israel,695,1991
132,Evgeniy Najer,2613,GM,4118987,Fide,2216,1977
133,Vasif Durarbayli,2612,GM,13402935,Azerbaijan,780,1992
134,Alexander Riazantsev,2612,GM,4125029,Russian Federation,2248,1985
135,Xiangyu Xu,2612,GM,8608288,China,684,1999
136,Erwin L'Ami,2611,GM,1007998,Netherlands,1152,1985
137,Samvel Ter Sahakyan,2611,GM,13302531,Armenia,1218,1993
138,Qun Ma,2610,GM,8603154,China,503,1991
139,Abhimanyu Mishra,2610,GM,30920019,United States,508,2009
140,Ivan Popov,2610,GM,4170350,Russian Federation,1259,1990
141,Imre Balog,2609,GM,728446,Hungary,390,1991
142,Eric Hansen,2609,GM,2606771,Canada,599,1992
143,Yifan Hou,2609,GM,8602980,China,1604,1994
144,Aydin Suleymanli,2609,GM,13413937,Azerbaijan,804,2005
145,Maxim Matlakov,2608,GM,4168003,Russian Federation,1942,1991
146,Volodymyr Onyshchuk,2607,GM,14114038,Ukraine,1131,1991
147,Christopher Woojin Yoo,2607,GM,30909694,United States,443,2006
148,Gata Kamsky,2606,GM,2000024,France,2275,1974
149,Leon Luke Mendonca,2606,GM,35028561,India,833,2006
150,Tamas Banusz,2605,GM,722413,Hungary,1438,1989
151,Laurent Fressinet,2605,GM,608742,France,2544,1981
152,Ferenc Berkes,2604,GM,718572,Hungary,1802,1985
153,Marc Andria Maurizzi,2607,GM,36083534,France,482,2007
154,Arkadij Naiditsch,2604,GM,4650891,Bulgaria,2587,1985
155,Arseniy Nesterov,2604,GM,24198455,Fide,747,2003
156,Victor Bologan,2601,GM,13900048,Moldova,2669,1971
157,Olexandr Bortnyk,2601,GM,14120828,Ukraine,401,1996
158,Yuriy Kuzubov,2600,GM,14112906,Ukraine,1613,1990
159,Sergei Movsesian,2600,GM,310204,Armenia,2810,1978
160,Ngoc Truong Son Nguyen,2600,GM,12401110,Viet Nam,1064,1990
161,Weiqi Zhou,2600,GM,8601674,China,664,1986
162,Jorge Cori,2599,GM,3802272,Peru,547,1995
163,Emil Sutovsky,2599,GM,2802007,Israel,1808,1977
164,Alexander Areshchenko,2598,GM,14109530,Ukraine,1375,1986
165,Baadur Jobava,2598,GM,13601520,Georgia,2113,1983
166,Tuan Minh Le,2598,GM,12401153,Viet Nam,212,1996
167,V Pranav,2597,GM,25060783,India,563,2006
168,Bobby Cheng,2596,GM,4300033,Australia,364,1997
169,Rafael Leitao,2596,GM,2101246,Brazil,1198,1979
170,Georg Meier,2596,GM,4675789,Uruguay,1438,1987
171,Miguel Santos Ruiz,2596,GM,22291482,Spain,605,1999
172,Aleksey Grebnev,2595,GM,34189030,Fide,373,2006
173,Semen Khanin,2595,GM,4111990,Fide,598,1999
174,Alexander Motylev,2595,GM,4121830,Romania,2195,1979
175,Narayanan.S.L,2595,GM,5058422,India,973,1998
176,David Baramidze,2594,GM,4667719,Germany,1123,1988
177,Ante Brkic,2594,GM,14506688,Croatia,1853,1988
178,Miguel Illescas Cordoba,2594,GM,2200015,Spain,1423,1965
179,Brandon Jacobson,2594,GM,30901561,United States,556,2003
180,Tomi Nyback,2594,GM,503142,Finland,1380,1985
181,Mikhail Al. Antipov,2593,GM,4107012,United States,1299,1997
182,Pouya Idani,2593,GM,12510130,Iran,807,1995
183,Ivan Salgado Lopez,2593,GM,2257327,Spain,1165,1991
